cik,form,coname,fyear,fsize,url,sbi,lengthpart1,lengthpart2,lengthpart3,lengthpart4,missingPart1,missingPart2,missingPart3,missingPart4
1000370,"10-KSB","XENOMETRIX INC \DE\",1998,.341443,"https://www.sec.gov/Archives/edgar/data/1000370/0001035704-98-000601.txt",1,62908,59530,681,212119,0,0,0,0
1000621,"10-K","GEOGRAPHICS INC",1998,.092949,"https://www.sec.gov/Archives/edgar/data/1000621/0000891020-99-000498.txt",0,55348,27537,510,4268,0,0,0,0
1000621,"10-K","GEOGRAPHICS INC",1999,.309642,"https://www.sec.gov/Archives/edgar/data/1000621/0000950124-99-004006.txt",0,84623,33321,13150,168543,0,0,0,0
1000695,"10-K","SYNC RESEARCH INC",1999,.334228,"https://www.sec.gov/Archives/edgar/data/1000695/0000912057-00-013398.txt",0,36938,115025,44381,128742,0,0,0,0
1000695,"10-K","ENTRADA NETWORKS INC",2002,.23701,"https://www.sec.gov/Archives/edgar/data/1000695/0000950117-02-001022.txt",0,68237,39802,21192,100084,0,0,0,0
1000695,"10-K","ENTRADA NETWORKS INC",2003,.261877,"https://www.sec.gov/Archives/edgar/data/1000695/0000950117-03-001763.txt",0,66591,45436,22273,119458,0,0,0,0
1000787,"10-K","APPLIED MICROSYSTEMS CORP /WA/",2002,.747523,"https://www.sec.gov/Archives/edgar/data/1000787/0000891020-03-000989.txt",0,129,438,229,220864,0,0,0,0
1000897,"10-KSB","AZUREL LTD",2000,.084381,"https://www.sec.gov/Archives/edgar/data/1000897/0000909012-01-000251.txt",1,18112,44956,15981,0,0,0,0,1
1000897,"10-KSB","AZUREL LTD",2002,.110615,"https://www.sec.gov/Archives/edgar/data/1000897/0000909012-03-000397.txt",1,18746,14591,72239,0,0,0,0,1
1000926,"10-KSB","ECHOCATH INC",2000,.277658,"https://www.sec.gov/Archives/edgar/data/1000926/0000950116-00-002870.txt",1,127931,21059,122371,0,0,0,0,1
1000926,"10-KSB","ECHOCATH INC",1999,.266637,"https://www.sec.gov/Archives/edgar/data/1000926/0000950117-99-002474.txt",1,125544,85113,48814,0,0,0,0,1
100102,"10-KSB","TUCKER DRILLING CO INC",1996,.119138,"https://www.sec.gov/Archives/edgar/data/100102/0000930661-96-000543.txt",1,27133,60223,24285,0,0,0,0,1
1001109,"10-K","HELP AT HOME INC",1996,.120651,"https://www.sec.gov/Archives/edgar/data/1001109/0001001109-96-000005.txt",0,24552,15096,75520,0,0,0,0,1
1001109,"10-K","HELP AT HOME INC",1997,.130571,"https://www.sec.gov/Archives/edgar/data/1001109/0001001109-97-000007.txt",0,30173,26619,67617,0,0,0,0,1
1001109,"10-KSB","HELP AT HOME INC",1998,.131919,"https://www.sec.gov/Archives/edgar/data/1001109/0001001109-98-000012.txt",1,21929,23024,80591,0,0,0,0,1
1001111,"10-KSB","CARING PRODUCTS INTERNATIONAL INC",2000,.126805,"https://www.sec.gov/Archives/edgar/data/1001111/0001015402-00-001667.txt",1,25413,64952,31211,0,0,0,0,1
1001111,"10-KSB","CARING PRODUCTS INTERNATIONAL INC",1999,.149508,"https://www.sec.gov/Archives/edgar/data/1001111/0001047469-99-027473.txt",1,32763,77205,33092,0,0,0,0,1
1001111,"10-KSB","US GLOBAL NANOSPACE INC",2005,.195526,"https://www.sec.gov/Archives/edgar/data/1001111/0001144204-05-022381.txt",1,34856,122466,32494,0,0,0,0,1
1001136,"10-KSB","NUTRITION MEDICAL INC",1998,.172319,"https://www.sec.gov/Archives/edgar/data/1001136/0001047469-99-012419.txt",1,18173,21228,125053,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2000,.903744,"https://www.sec.gov/Archives/edgar/data/1001171/0000912057-01-506058.txt",1,105696,47732,91101,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2001,1.212437,"https://www.sec.gov/Archives/edgar/data/1001171/0000950148-02-000824.txt",1,110698,40485,101058,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2002,.312382,"https://www.sec.gov/Archives/edgar/data/1001171/0001001171-03-000008.txt",1,110189,43507,148509,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",1999,.335124,"https://www.sec.gov/Archives/edgar/data/1001171/0001092388-00-000114.txt",1,132239,58433,133196,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2003,1.470352,"https://www.sec.gov/Archives/edgar/data/1001171/0001193125-04-052565.txt",1,91228,43079,130133,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2004,1.693701,"https://www.sec.gov/Archives/edgar/data/1001171/0001193125-05-065205.txt",1,64316,62827,235985,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2005,1.235935,"https://www.sec.gov/Archives/edgar/data/1001171/0001193125-06-068752.txt",1,60003,60738,101824,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2006,2.006152,"https://www.sec.gov/Archives/edgar/data/1001171/0001193125-07-070482.txt",1,58707,69086,716688,0,0,0,0,1
1001171,"10-KSB","BROADWAY FINANCIAL CORP \DE\",2007,1.218797,"https://www.sec.gov/Archives/edgar/data/1001171/0001193125-08-071326.txt",1,66970,63242,93958,0,0,0,0,1
1001258,"10-KSB","ASTA FUNDING INC",1996,.573849,"https://www.sec.gov/Archives/edgar/data/1001258/0000950116-96-001496.txt",1,3683,1017,107987,458677,0,0,0,0
1001258,"10-KSB","ASTA FUNDING INC",1997,.451173,"https://www.sec.gov/Archives/edgar/data/1001258/0000950116-97-002369.txt",1,58955,15533,1397,368967,0,0,0,0
1001258,"10-KSB","ASTA FUNDING INC",1998,.237151,"https://www.sec.gov/Archives/edgar/data/1001258/0000950116-98-002474.txt",1,63389,11556,1336,154295,0,0,0,0
1001258,"10-KSB","ASTA FUNDING INC",1999,.153882,"https://www.sec.gov/Archives/edgar/data/1001258/0000950116-99-002316.txt",1,66093,76693,1438,3536,0,0,0,0
1001260,"10-KSB","WHITEWING LABS INC",1999,.114466,"https://www.sec.gov/Archives/edgar/data/1001260/0001001260-00-000001.txt",1,22994,30140,-213,55459,0,0,0,0
1001260,"10-KSB","WHITEWING LABS INC",2000,.106501,"https://www.sec.gov/Archives/edgar/data/1001260/0001001260-01-500002.txt",0,23308,27739,-213,50382,0,0,0,0
1001260,"10-KSB","WHITEWING LABS INC",1996,.151413,"https://www.sec.gov/Archives/edgar/data/1001260/0001001260-97-000003.txt",1,25945,41428,-175,76300,0,0,0,0
1001260,"10-KSB","WHITEWING LABS INC",1998,.124484,"https://www.sec.gov/Archives/edgar/data/1001260/0001001260-99-000001.txt",1,25558,33392,-2386,61819,0,0,0,0
1001260,"10-K","WHITEWING LABS INC",2001,.103069,"https://www.sec.gov/Archives/edgar/data/1001260/0001019687-02-000500.txt",1,23351,24991,-169,50910,0,0,0,0
1001279,"10-KSB","INTERNET AMERICA INC",2006,1.03603,"https://www.sec.gov/Archives/edgar/data/1001279/0001144204-06-041345.txt",1,3366,1121,152902,0,0,0,0,1
1001279,"10-KSB","INTERNET AMERICA INC",2007,1.094615,"https://www.sec.gov/Archives/edgar/data/1001279/0001144204-07-051533.txt",1,3423,1122,163400,0,0,0,0,1
1001279,"10-K","INTERNET AMERICA INC",2003,.889065,"https://www.sec.gov/Archives/edgar/data/1001279/0001193125-03-055397.txt",0,30224,35266,1560,93415,0,0,0,0
1001279,"10-K","INTERNET AMERICA INC",2004,.774116,"https://www.sec.gov/Archives/edgar/data/1001279/0001193125-04-163134.txt",0,35318,42723,1565,63837,0,0,0,0
1001289,"10-K","LUMISYS INC \DE\",1999,.317491,"https://www.sec.gov/Archives/edgar/data/1001289/0001001289-00-000002.txt",0,81171,72480,1026,6504,0,0,0,0
1001316,"10-KSB","ATLANTIC TECHNOLOGY VENTURES INC",2002,.394756,"https://www.sec.gov/Archives/edgar/data/1001316/0000950134-03-005739.txt",1,67180,42707,276136,0,0,0,0,1
1001316,"10-KSB","ATLANTIC PHARMACEUTICALS INC",1997,.193501,"https://www.sec.gov/Archives/edgar/data/1001316/0001047469-98-010897.txt",1,88940,9000,88923,0,0,0,0,1
1001316,"10-KSB","MANHATTAN PHARMACEUTICALS INC",2003,.251205,"https://www.sec.gov/Archives/edgar/data/1001316/0001144204-04-003980.txt",1,62736,34885,147100,0,0,0,0,1
1001320,"10-KSB","KIDDIE ACADEMY INTERNATIONAL INC",1996,.56101,"https://www.sec.gov/Archives/edgar/data/1001320/0000950169-96-000598.txt",1,43549,38464,957,471569,0,0,0,0
1001540,"10-K","LEXINGTON GLOBAL ASSET MANAGERS INC",1999,.455564,"https://www.sec.gov/Archives/edgar/data/1001540/0000950130-00-001853.txt",0,156982,4749,36473,248467,0,0,0,0
1001540,"10-K","LEXINGTON GLOBAL ASSET MANAGERS INC",1998,.1662,"https://www.sec.gov/Archives/edgar/data/1001540/0001001540-99-000001.txt",0,56206,94018,2009,7944,0,0,0,0
1001579,"10-KSB","NEW HORIZON KIDS QUEST INC",2000,.13021,"https://www.sec.gov/Archives/edgar/data/1001579/0000897101-01-500084.txt",1,36398,62829,25257,0,0,0,0,1
1001592,"10-KSB","NETTER DIGITAL ENTERTAINMENT INC",1996,.113804,"https://www.sec.gov/Archives/edgar/data/1001592/0001001592-96-000010.txt",1,17469,46891,22816,22294,0,0,0,0
1001592,"10-K","NETTER DIGITAL ENTERTAINMENT INC",1999,.148204,"https://www.sec.gov/Archives/edgar/data/1001592/0001001592-99-000007.txt",0,28574,76730,1115,36866,0,0,0,0
1001594,"10-KSB","BLUE FISH CLOTHING INC",1996,.391435,"https://www.sec.gov/Archives/edgar/data/1001594/0000903893-97-000550.txt",1,42370,22116,49848,271053,0,0,0,0
1001601,"10-K","MEDICSIGHT INC",2004,2.863004,"https://www.sec.gov/Archives/edgar/data/1001601/0001047469-04-011287.txt",0,206130,9,38,204585,0,0,0,0
1001614,"10-KSB","TENGASCO INC",2001,3.783776,"https://www.sec.gov/Archives/edgar/data/1001614/0000930413-02-001301.txt",0,103046,44041,38775,3416147,0,0,0,0
1001614,"10-K","TENGASCO INC",2003,.397565,"https://www.sec.gov/Archives/edgar/data/1001614/0000930413-04-001599.txt",0,94537,49424,50227,196130,0,0,0,0
1001614,"10-K","TENGASCO INC",2005,1.11361,"https://www.sec.gov/Archives/edgar/data/1001614/0001001614-06-000006.txt",0,123733,51,2715,134501,0,0,0,0
1001614,"10-K","TENGASCO INC",2007,2.578969,"https://www.sec.gov/Archives/edgar/data/1001614/0001001614-08-000019.txt",0,179922,44,7190,1114581,0,0,0,0
1001614,"10-K","TENGASCO INC",2004,.968349,"https://www.sec.gov/Archives/edgar/data/1001614/0001169232-05-001959.txt",0,69309,39478,36359,124418,0,0,0,0
1001627,"10-KSB","CLASSIC BANCSHARES INC",2000,.452331,"https://www.sec.gov/Archives/edgar/data/1001627/0000927089-00-000204.txt",1,160737,1327,276723,0,0,0,0,1
1001627,"10-KSB","CLASSIC BANCSHARES INC",1999,.433384,"https://www.sec.gov/Archives/edgar/data/1001627/0000927089-99-000237.txt",1,168609,1321,251976,0,0,0,0,1
1001627,"10-KSB","CLASSIC BANCSHARES INC",2002,3.373591,"https://www.sec.gov/Archives/edgar/data/1001627/0001104659-02-002971.txt",1,100144,373,-99703,295704,0,0,0,0
1001903,"10-KSB","KINETIKS COM INC",1999,.063849,"https://www.sec.gov/Archives/edgar/data/1001903/0001001903-00-000009.txt",1,0,0,59704,0,1,1,0,1
1001903,"10-KSB","ELINEAR INC",2002,.32957,"https://www.sec.gov/Archives/edgar/data/1001903/0001015402-03-001229.txt",1,28954,138441,155241,0,0,0,0,1
1001903,"10-KSB","ELINEAR INC",2003,.398596,"https://www.sec.gov/Archives/edgar/data/1001903/0001015402-04-000509.txt",1,20776,81531,289878,0,0,0,0,1
1001903,"10-KSB","ELINEAR INC",2004,.993901,"https://www.sec.gov/Archives/edgar/data/1001903/0001315714-05-000010.txt",1,25297,133148,88688,0,0,0,0,1
1001903,"10-KSB","ELINEAR INC",2005,1.421684,"https://www.sec.gov/Archives/edgar/data/1001903/0001315714-06-000100.txt",1,0,0,284587,0,1,1,0,1
1002040,"10-KSB","FOREFRONT GROUP INC/DE",1997,.221403,"https://www.sec.gov/Archives/edgar/data/1002040/0001047469-98-010677.txt",0,50751,34643,33213,94235,0,0,0,0
1002137,"10-K","SWISSRAY INTERNATIONAL INC",1998,.259557,"https://www.sec.gov/Archives/edgar/data/1002137/0000950123-98-010409.txt",0,47649,169471,28288,4969,0,0,0,0
1002137,"10-K","SWISSRAY INTERNATIONAL INC",2001,.287919,"https://www.sec.gov/Archives/edgar/data/1002137/0001015769-01-500180.txt",0,105494,127190,47577,2920,0,0,0,0
1002137,"10-K","SWISSRAY INTERNATIONAL INC",1999,.315702,"https://www.sec.gov/Archives/edgar/data/1002137/0001015769-99-000072.txt",0,159067,104775,-259822,302934,0,0,0,0
1002137,"10-K","SWISSRAY INTERNATIONAL INC",2002,.265751,"https://www.sec.gov/Archives/edgar/data/1002137/0001172665-02-000157.txt",0,89842,122117,40779,8388,0,0,0,0
1002175,"10-K","SPACETEC IMC CORP",1997,.19327,"https://www.sec.gov/Archives/edgar/data/1002175/0000927016-97-001818.txt",0,36681,94792,1959,51632,0,0,0,0
1002175,"10-K","SPACETEC IMC CORP",1998,.238215,"https://www.sec.gov/Archives/edgar/data/1002175/0000927016-98-002343.txt",0,37495,128350,1875,63169,0,0,0,0
1002176,"10-KSB","YIELDUP INTERNATIONAL CORP",1996,.131079,"https://www.sec.gov/Archives/edgar/data/1002176/0000891618-97-000720.txt",1,44233,56717,17817,6395,0,0,0,0
1002176,"10-KSB","YIELDUP INTERNATIONAL CORP",1998,.31375,"https://www.sec.gov/Archives/edgar/data/1002176/0000891618-99-000935.txt",1,58577,75721,16198,156024,0,0,0,0
1002212,"10-K","ERGO SCIENCE CORP",1999,.214836,"https://www.sec.gov/Archives/edgar/data/1002212/0000912057-00-014930.txt",0,80563,94409,1514,31316,0,0,0,0
1002325,"10-KSB","MAGNUM SPORTS & ENTERTAINMENT INC",2001,.127955,"https://www.sec.gov/Archives/edgar/data/1002325/0000950136-02-001086.txt",1,3596,52779,70428,0,0,0,0,1
1002360,"10-KSB","THERMACELL TECHNOLOGIES INC",1999,.147039,"https://www.sec.gov/Archives/edgar/data/1002360/0001044885-00-000005.txt",1,56045,4931,80468,0,0,0,0,1
1002360,"10-KSB","THERMACELL TECHNOLOGIES INC",2001,.148575,"https://www.sec.gov/Archives/edgar/data/1002360/0001044885-02-000051.txt",1,64134,283,78673,0,0,0,0,1
1002360,"10-KSB","THERMACELL TECHNOLOGIES INC",1998,.135818,"https://www.sec.gov/Archives/edgar/data/1002360/0001044885-98-000038.txt",1,29505,23888,76949,0,0,0,0,1
1002360,"10-KSB","THERMACELL TECHNOLOGIES INC",2003,.146577,"https://www.sec.gov/Archives/edgar/data/1002360/0001108890-05-000375.txt",1,22254,87113,32095,0,0,0,0,1
1002390,"10-K","INSIGNIA SOLUTIONS PLC",2005,1.418435,"https://www.sec.gov/Archives/edgar/data/1002390/0000891618-06-000281.txt",0,0,0,511349,0,1,1,0,1
1002390,"10-K","INSIGNIA SOLUTIONS PLC",2002,.795099,"https://www.sec.gov/Archives/edgar/data/1002390/0001047469-03-013402.txt",0,323404,451,374,3632,0,0,0,0
1002390,"10-K","INSIGNIA SOLUTIONS PLC",2007,1.608947,"https://www.sec.gov/Archives/edgar/data/1002390/0001144204-08-070823.txt",0,0,0,225112,0,1,1,0,1
1002422,"10-KSB","MEDCARE TECHNOLOGIES INC",2000,.100293,"https://www.sec.gov/Archives/edgar/data/1002422/0001023856-01-000023.txt",1,620,553,86287,6722,0,0,0,0
1002422,"10-KSB","MEDCARE TECHNOLOGIES INC",2001,.107956,"https://www.sec.gov/Archives/edgar/data/1002422/0001023856-02-000032.txt",1,456,588,99132,1722,0,0,0,0
1002517,"10-K","SCANSOFT INC",1999,.534753,"https://www.sec.gov/Archives/edgar/data/1002517/0000950008-99-000106.txt",0,78962,119449,37401,289637,0,0,0,0
1002520,"10-K","SPEEDUS COM INC",1999,.145657,"https://www.sec.gov/Archives/edgar/data/1002520/0001005477-00-002739.txt",0,48869,26116,481,65106,0,0,0,0
